class_overlap,ece_cal,ece_improvement,ece_raw,env_burst,filename,label_noise,macro_f1,model,seed,stress_score,temperature,macro_f1_processed,ece_raw_log,ece_cal_log,temperature_winsorized
0.4,0.008903698007265726,3.80887065507495,0.009256256858507792,0.0,paperA_cnn_hard_s3_cla0p4_env0p0_lab0p05.json,0.05,0.9259813760755125,cnn,3,0.45,1.0069338083267212,0.9259813760755125,0.00921368024470867,0.008864293810815283,1.0069338083267212
0.4,0.010299185832341512,26.64759970737546,0.014040693680445353,0.0,paperA_cnn_hard_s3_cla0p4_env0p0_lab0p1.json,0.1,0.9362191748773011,cnn,3,0.5,0.9578107595443726,0.9362191748773011,0.013943036198489614,0.01024651058399875,0.9578107595443726
0.4,0.004331224719683329,46.35707013847308,0.008074176281690597,0.1,paperA_cnn_hard_s3_cla0p4_env0p1_lab0p0.json,0.0,0.9808098001190431,cnn,3,0.5,1.3399403095245361,0.9808098001190431,0.008041754522785913,0.004321871962102077,1.3034519672393798
0.4,0.005473574270804723,36.42985855989193,0.008610291163126628,0.1,paperA_cnn_hard_s3_cla0p4_env0p1_lab0p05.json,0.05,0.978129850118425,cnn,3,0.55,1.235332727432251,0.978129850118425,0.00857343402220162,0.005458648702522873,1.235332727432251
0.4,0.006119815071423848,-13.628414759635666,0.005385814001162847,0.1,paperA_cnn_hard_s3_cla0p4_env0p1_lab0p1.json,0.1,0.9807646343676111,cnn,3,0.6,1.0330482721328735,0.9807646343676111,0.005371362370908197,0.00610116505426192,1.0330482721328735
0.4,0.0035707751810550694,20.95650414836626,0.0045174813469251,0.2,paperA_cnn_hard_s3_cla0p4_env0p2_lab0p0.json,0.0,0.9836912084042367,cnn,3,0.6000000000000001,1.1575579643249512,0.9836912084042367,0.004507308154696387,0.003564415099143358,1.1575579643249512
0.4,0.005663301984469096,22.49867778368814,0.007307361761728923,0.2,paperA_cnn_hard_s3_cla0p4_env0p2_lab0p05.json,0.05,0.9871165591884776,cnn,3,0.6500000000000001,1.1575579643249512,0.9871165591884776,0.007280792350125574,0.005647325780117401,1.1575579643249512
0.4,0.003000697965423266,-4.552281870695967,0.002870045408606529,0.2,paperA_cnn_hard_s3_cla0p4_env0p2_lab0p1.json,0.1,0.9903814312686445,cnn,3,0.7000000000000001,0.969065248966217,0.9903814312686445,0.002865934691700646,0.0029962048573462527,0.969065248966217
0.8,0.025368243098258973,-27.81367397361411,0.01984783185521762,0.0,paperA_cnn_hard_s3_cla0p8_env0p0_lab0p0.json,0.0,0.712808914701405,cnn,3,0.8,1.0499796867370605,0.8417408664237727,0.019653431711402932,0.02505180963066689,1.0499796867370605
0.8,0.027339064737161002,32.63291402829947,0.04058222846190135,0.0,paperA_cnn_hard_s3_cla0p8_env0p0_lab0p05.json,0.05,0.7086670314912724,cnn,3,0.8500000000000001,1.1024574041366577,0.8417408664237727,0.039780391563617304,0.0269720271277769,1.1024574041366577
0.8,0.01496088359753291,22.70289627242542,0.019355037738879522,0.0,paperA_cnn_hard_s3_cla0p8_env0p0_lab0p1.json,0.1,0.7164000855241541,cnn,3,0.9,1.0163898468017578,0.8417408664237727,0.01917011135786774,0.014850073423576447,1.0163898468017578
0.8,0.007799644003311793,19.663889908767988,0.009708764831225077,0.1,paperA_cnn_hard_s3_cla0p8_env0p1_lab0p0.json,0.0,0.9428717524235717,cnn,3,0.9,1.0499796867370605,0.9428717524235717,0.009661937619584449,0.007769384022893029,1.0499796867370605
0.8,0.008356835573911666,48.535607430232844,0.01623809231321017,0.1,paperA_cnn_hard_s3_cla0p8_env0p1_lab0p05.json,0.05,0.934666719220708,cnn,3,0.9500000000000001,1.2555795907974243,0.934666719220708,0.01610766453026142,0.008322110550252839,1.2555795907974243
0.8,0.008828166633844375,28.23219754125696,0.012301012893517812,0.1,paperA_cnn_hard_s3_cla0p8_env0p1_lab0p1.json,0.1,0.9482272149882442,cnn,3,1.0,1.0846797227859497,0.9482272149882442,0.01222597020837463,0.008789426208454187,1.0846797227859497
0.8,0.00786741613348325,5.923445234651229,0.008362780878941219,0.2,paperA_cnn_hard_s3_cla0p8_env0p2_lab0p0.json,0.0,0.9704780666542875,cnn,3,1.0,1.0330482721328735,0.9704780666542875,0.00832800656572377,0.007836629384527699,1.0330482721328735
0.8,0.004045659124851227,73.70604398806736,0.015386270225048066,0.2,paperA_cnn_hard_s3_cla0p8_env0p2_lab0p05.json,0.05,0.9528348448599748,cnn,3,1.05,1.276158332824707,0.9528348448599748,0.015269101896553158,0.004037497451467494,1.276158332824707
0.8,0.004774486382802328,5.903308339389411,0.005074021518230438,0.2,paperA_cnn_hard_s3_cla0p8_env0p2_lab0p1.json,0.1,0.9699202216418414,cnn,3,1.1,1.0499796867370605,0.9699202216418414,0.005061192050742073,0.00476312467256083,1.0499796867370605
0.0,0.0,100.0,7.110834121704102e-05,0.0,paperA_cnn_hard_s4_cla0p0_env0p0_lab0p0.json,0.0,1.0,cnn,4,0.0,0.4843083620071411,1.0,7.110581313878995e-05,0.0,0.4843083620071411
0.0,0.0,100.0,4.76837158203125e-05,0.0,paperA_cnn_hard_s4_cla0p0_env0p0_lab0p05.json,0.05,1.0,cnn,4,0.05,0.44012200832366943,1.0,4.7682578988074067e-05,0.0,0.44012200832366943
0.0,0.0,100.0,5.53131103515625e-05,0.0,paperA_cnn_hard_s4_cla0p0_env0p0_lab0p1.json,0.1,1.0,cnn,4,0.1,0.4644618034362793,1.0,5.531158063788267e-05,0.0,0.4644618034362793
0.0,1.7881393432617188e-07,99.88344988344988,0.00015342235565185547,0.1,paperA_cnn_hard_s4_cla0p0_env0p1_lab0p0.json,0.0,1.0,cnn,4,0.1,0.3922342360019684,1.0,0.00015341058764588333,1.7881391833896223e-07,0.39800581037998195
0.0,0.0,100.0,8.916854858398438e-05,0.1,paperA_cnn_hard_s4_cla0p0_env0p1_lab0p05.json,0.05,1.0,cnn,4,0.15000000000000002,0.3942323625087738,1.0,8.916457330526756e-05,0.0,0.39800581037998195
0.0,0.0,100.0,0.0001157522201538086,0.1,paperA_cnn_hard_s4_cla0p0_env0p1_lab0p1.json,0.1,1.0,cnn,4,0.2,0.3824906647205353,1.0,0.0001157455213825001,0.0,0.39800581037998195
0.0,0.0,100.0,0.00014662742614746094,0.2,paperA_cnn_hard_s4_cla0p0_env0p2_lab0p0.json,0.0,1.0,cnn,4,0.2,0.41779881715774536,1.0,0.00014661667739710653,0.0,0.41779881715774536
0.0,0.0,100.0,0.00013369321823120117,0.2,paperA_cnn_hard_s4_cla0p0_env0p2_lab0p05.json,0.05,1.0,cnn,4,0.25,0.4196316599845886,1.0,0.0001336842820893595,0.0,0.4196316599845886
0.0,0.0,100.0,5.8770179748535156e-05,0.2,paperA_cnn_hard_s4_cla0p0_env0p2_lab0p1.json,0.1,1.0,cnn,4,0.30000000000000004,0.504315972328186,1.0,5.876845284918111e-05,0.0,0.504315972328186
