filename,label_noise,macro_f1,model,noise_category
paperA_cnn_hard_s0_cla0p8_env0p0_lab0p1.json,0.1,0.7074416148359546,cnn,10%
paperA_cnn_hard_s0_cla0p8_env0p1_lab0p0.json,0.0,0.9479342944353651,cnn,0%
paperA_cnn_hard_s0_cla0p8_env0p1_lab0p05.json,0.05,0.9421639244294839,cnn,5%
paperA_cnn_hard_s0_cla0p8_env0p1_lab0p1.json,0.1,0.938613547574557,cnn,10%
paperA_cnn_hard_s0_cla0p8_env0p2_lab0p0.json,0.0,0.965948827293944,cnn,0%
paperA_cnn_hard_s0_cla0p8_env0p2_lab0p05.json,0.05,0.9614506563603616,cnn,5%
paperA_cnn_hard_s0_cla0p8_env0p2_lab0p1.json,0.1,0.9711497182434524,cnn,10%
paperA_cnn_hard_s1_cla0p0_env0p0_lab0p0.json,0.0,1.0,cnn,0%
paperA_cnn_hard_s1_cla0p0_env0p0_lab0p05.json,0.05,1.0,cnn,5%
paperA_cnn_hard_s1_cla0p0_env0p0_lab0p1.json,0.1,1.0,cnn,10%
paperA_cnn_hard_s1_cla0p0_env0p1_lab0p0.json,0.0,1.0,cnn,0%
paperA_cnn_hard_s1_cla0p0_env0p1_lab0p05.json,0.05,1.0,cnn,5%
paperA_cnn_hard_s1_cla0p0_env0p1_lab0p1.json,0.1,1.0,cnn,10%
paperA_cnn_hard_s1_cla0p0_env0p2_lab0p0.json,0.0,1.0,cnn,0%
paperA_cnn_hard_s1_cla0p0_env0p2_lab0p05.json,0.05,1.0,cnn,5%
paperA_cnn_hard_s1_cla0p0_env0p2_lab0p1.json,0.1,1.0,cnn,10%
paperA_cnn_hard_s1_cla0p4_env0p0_lab0p0.json,0.0,0.9276594539120993,cnn,0%
paperA_cnn_hard_s1_cla0p4_env0p0_lab0p05.json,0.05,0.9347075384580557,cnn,5%
paperA_cnn_hard_s1_cla0p4_env0p0_lab0p1.json,0.1,0.929243611714696,cnn,10%
paperA_cnn_hard_s1_cla0p4_env0p1_lab0p0.json,0.0,0.9730972315746083,cnn,0%
paperA_cnn_hard_s1_cla0p4_env0p1_lab0p05.json,0.05,0.9865857616633498,cnn,5%
paperA_cnn_hard_s1_cla0p4_env0p1_lab0p1.json,0.1,0.9874115331549205,cnn,10%
paperA_cnn_hard_s1_cla0p4_env0p2_lab0p0.json,0.0,0.9922778891357191,cnn,0%
paperA_cnn_hard_s1_cla0p4_env0p2_lab0p05.json,0.05,0.9872723271038714,cnn,5%
paperA_cnn_hard_s1_cla0p4_env0p2_lab0p1.json,0.1,0.9894007918646501,cnn,10%
paperA_cnn_hard_s1_cla0p8_env0p0_lab0p0.json,0.0,0.7034276554759501,cnn,0%
paperA_cnn_hard_s1_cla0p8_env0p0_lab0p05.json,0.05,0.7167164292818864,cnn,5%
paperA_cnn_hard_s1_cla0p8_env0p0_lab0p1.json,0.1,0.6999433500254273,cnn,10%
paperA_cnn_hard_s1_cla0p8_env0p1_lab0p0.json,0.0,0.9230601628628042,cnn,0%
paperA_cnn_hard_s1_cla0p8_env0p1_lab0p05.json,0.05,0.9436890352901899,cnn,5%
paperA_cnn_hard_s1_cla0p8_env0p1_lab0p1.json,0.1,0.9195134249319179,cnn,10%
paperA_cnn_hard_s1_cla0p8_env0p2_lab0p0.json,0.0,0.9751117419566284,cnn,0%
paperA_cnn_hard_s1_cla0p8_env0p2_lab0p05.json,0.05,0.9702251302241105,cnn,5%
paperA_cnn_hard_s1_cla0p8_env0p2_lab0p1.json,0.1,0.9517132687835738,cnn,10%
paperA_cnn_hard_s2_cla0p0_env0p0_lab0p0.json,0.0,1.0,cnn,0%
paperA_cnn_hard_s2_cla0p0_env0p0_lab0p05.json,0.05,1.0,cnn,5%
paperA_cnn_hard_s2_cla0p0_env0p0_lab0p1.json,0.1,1.0,cnn,10%
paperA_cnn_hard_s2_cla0p0_env0p1_lab0p0.json,0.0,1.0,cnn,0%
paperA_cnn_hard_s2_cla0p0_env0p1_lab0p05.json,0.05,1.0,cnn,5%
paperA_cnn_hard_s2_cla0p0_env0p1_lab0p1.json,0.1,1.0,cnn,10%
paperA_cnn_hard_s2_cla0p0_env0p2_lab0p0.json,0.0,1.0,cnn,0%
paperA_cnn_hard_s2_cla0p0_env0p2_lab0p05.json,0.05,1.0,cnn,5%
paperA_cnn_hard_s2_cla0p0_env0p2_lab0p1.json,0.1,1.0,cnn,10%
paperA_cnn_hard_s2_cla0p4_env0p0_lab0p0.json,0.0,0.9344831138658604,cnn,0%
paperA_cnn_hard_s2_cla0p4_env0p0_lab0p05.json,0.05,0.9317386546672418,cnn,5%
paperA_cnn_hard_s2_cla0p4_env0p0_lab0p1.json,0.1,0.9301241874391525,cnn,10%
paperA_cnn_hard_s2_cla0p4_env0p1_lab0p0.json,0.0,0.9794111591882995,cnn,0%
paperA_cnn_hard_s2_cla0p4_env0p1_lab0p05.json,0.05,0.9763493564712635,cnn,5%
paperA_cnn_hard_s2_cla0p4_env0p1_lab0p1.json,0.1,0.9810608199515932,cnn,10%
paperA_cnn_hard_s2_cla0p4_env0p2_lab0p0.json,0.0,0.9892368411652863,cnn,0%
paperA_cnn_hard_s2_cla0p4_env0p2_lab0p05.json,0.05,0.9929204603655148,cnn,5%
paperA_cnn_hard_s2_cla0p4_env0p2_lab0p1.json,0.1,0.9857733675949637,cnn,10%
paperA_cnn_hard_s2_cla0p8_env0p0_lab0p0.json,0.0,0.703198411271061,cnn,0%
paperA_cnn_hard_s2_cla0p8_env0p0_lab0p05.json,0.05,0.7074086159114719,cnn,5%
paperA_cnn_hard_s2_cla0p8_env0p0_lab0p1.json,0.1,0.7066618947541067,cnn,10%
paperA_cnn_hard_s2_cla0p8_env0p1_lab0p0.json,0.0,0.9371735182617171,cnn,0%
paperA_cnn_hard_s2_cla0p8_env0p1_lab0p05.json,0.05,0.9472175826243409,cnn,5%
paperA_cnn_hard_s2_cla0p8_env0p1_lab0p1.json,0.1,0.9467201487335356,cnn,10%
paperA_cnn_hard_s2_cla0p8_env0p2_lab0p0.json,0.0,0.9688630575157715,cnn,0%
paperA_cnn_hard_s2_cla0p8_env0p2_lab0p05.json,0.05,0.9686429019240487,cnn,5%
paperA_cnn_hard_s2_cla0p8_env0p2_lab0p1.json,0.1,0.9584842916632934,cnn,10%
paperA_cnn_hard_s3_cla0p0_env0p0_lab0p0.json,0.0,1.0,cnn,0%
paperA_cnn_hard_s3_cla0p0_env0p0_lab0p05.json,0.05,1.0,cnn,5%
paperA_cnn_hard_s3_cla0p0_env0p0_lab0p1.json,0.1,1.0,cnn,10%
paperA_cnn_hard_s3_cla0p0_env0p1_lab0p0.json,0.0,1.0,cnn,0%
paperA_cnn_hard_s3_cla0p0_env0p1_lab0p05.json,0.05,1.0,cnn,5%
paperA_cnn_hard_s3_cla0p0_env0p1_lab0p1.json,0.1,1.0,cnn,10%
paperA_cnn_hard_s3_cla0p0_env0p2_lab0p0.json,0.0,1.0,cnn,0%
paperA_cnn_hard_s3_cla0p0_env0p2_lab0p05.json,0.05,1.0,cnn,5%
paperA_cnn_hard_s3_cla0p0_env0p2_lab0p1.json,0.1,1.0,cnn,10%
paperA_cnn_hard_s3_cla0p4_env0p0_lab0p0.json,0.0,0.924482918298833,cnn,0%
paperA_cnn_hard_s3_cla0p4_env0p0_lab0p05.json,0.05,0.9259813760755125,cnn,5%
paperA_cnn_hard_s3_cla0p4_env0p0_lab0p1.json,0.1,0.9362191748773011,cnn,10%
paperA_cnn_hard_s3_cla0p4_env0p1_lab0p0.json,0.0,0.9808098001190431,cnn,0%
paperA_cnn_hard_s3_cla0p4_env0p1_lab0p05.json,0.05,0.978129850118425,cnn,5%
paperA_cnn_hard_s3_cla0p4_env0p1_lab0p1.json,0.1,0.9807646343676111,cnn,10%
paperA_cnn_hard_s3_cla0p4_env0p2_lab0p0.json,0.0,0.9836912084042367,cnn,0%
paperA_cnn_hard_s3_cla0p4_env0p2_lab0p05.json,0.05,0.9871165591884776,cnn,5%
paperA_cnn_hard_s3_cla0p4_env0p2_lab0p1.json,0.1,0.9903814312686445,cnn,10%
paperA_cnn_hard_s3_cla0p8_env0p0_lab0p0.json,0.0,0.712808914701405,cnn,0%
paperA_cnn_hard_s3_cla0p8_env0p0_lab0p05.json,0.05,0.7086670314912724,cnn,5%
paperA_cnn_hard_s3_cla0p8_env0p0_lab0p1.json,0.1,0.7164000855241541,cnn,10%
paperA_cnn_hard_s3_cla0p8_env0p1_lab0p0.json,0.0,0.9428717524235717,cnn,0%
paperA_cnn_hard_s3_cla0p8_env0p1_lab0p05.json,0.05,0.934666719220708,cnn,5%
paperA_cnn_hard_s3_cla0p8_env0p1_lab0p1.json,0.1,0.9482272149882442,cnn,10%
paperA_cnn_hard_s3_cla0p8_env0p2_lab0p0.json,0.0,0.9704780666542875,cnn,0%
paperA_cnn_hard_s3_cla0p8_env0p2_lab0p05.json,0.05,0.9528348448599748,cnn,5%
